model,TP,TN,FP,FN,precision,recall,f1,auc,latency_ms,fn_loss,fp_cost,total_cost
IsolationForest,41,85156,139,107,0.22777777777777777,0.27702702702702703,0.25,0.953854032824078,968.3857001364231,15410.131,6447.595,21857.725859375
XGBoost,116,85286,9,32,0.928,0.7837837837837838,0.8498168498168498,0.9770055594019484,139.40930040553212,5444.97,563.1766015625,6008.14681640625
Autoencoder,121,84442,853,27,0.12422997946611909,0.8175675675675675,0.21568627450980393,0.9318782349968234,3868.671399541199,4848.49,13193.215,18041.705234375
LSTM,0,85285,0,148,0.0,0.0,0.0,0.5127595629281154,6943.1711002253,19779.23,0.0,19779.23046875
